HCT116_pH7A	HCT116_pH7B	HCT116_pH7C	HCT116_pH6A	HCT116_pH6B	HCT116_pH6C	Me3pH7A	Me3pH7B	Me3pH6A	Me3pH6B	Me3pH6C	Me3pH7C
ENSG00000159346	2072	2138	2056	2225	1823	2000	2766	2945	2228	2590	2327	2726
ENSG00000159348	238	298	240	417	367	263	768	691	761	844	945	789
ENSG00000159352	1734	2207	2184	1683	1556	1446	2150	1722	1428	1876	1721	2266
ENSG00000159363	89	125	177	320	229	123	281	122	193	416	821	882
ENSG00000159374	317	294	431	430	428	408	7	12	36	27	40	7
ENSG00000159377	2618	3646	3675	3869	3244	2910	4094	3045	2788	4125	3965	5047
ENSG00000159387	2	0	0	0	1	0	0	0	0	0	0	0
ENSG00000159388	253	185	237	827	699	629	106	113	120	119	87	101
ENSG00000159398	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000159399	1120	1007	1169	605	631	780	320	260	181	265	280	386
ENSG00000159403	2	5	8	5	6	3	48	19	61	91	130	67
ENSG00000159409	1	0	0	0	0	0	0	0	0	0	0	0
ENSG00000159423	31	53	63	130	71	117	39	15	38	91	127	96
ENSG00000159433	264	229	182	225	290	155	318	310	228	243	295	341
ENSG00000159445	517	488	493	302	380	260	331	397	235	257	268	317
ENSG00000159450	2	1	0	8	6	2	2	1	6	4	4	3
ENSG00000159455	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000159459	1236	1268	1398	1331	1386	1416	1532	1945	1387	1540	1344	1629
ENSG00000159461	1101	1336	1778	1913	1856	1766	1733	1640	1342	1605	2074	1956
ENSG00000159479	549	690	624	630	610	669	974	965	1042	1284	1107	1017
ENSG00000159495	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000159496	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000159516	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000159527	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000159556	10	6	11	9	14	5	22	14	14	19	26	36
ENSG00000159579	720	723	679	711	774	760	529	606	553	569	607	559
ENSG00000159588	5	9	13	17	24	16	22	18	17	16	13	42
ENSG00000159592	2755	2989	2987	2969	3049	3028	1906	2171	1823	2130	1640	1866
ENSG00000159593	2275	2174	2424	1864	1591	2107	1035	1345	944	1057	1078	975
ENSG00000159596	467	364	462	390	412	428	924	1133	851	811	852	911
ENSG00000159618	27	33	39	54	70	34	0	0	0	0	1	0
ENSG00000159625	1	0	2	8	3	0	0	1	1	1	3	3
ENSG00000159640	6	4	6	18	21	17	0	1	1	0	1	1
ENSG00000159648	0	0	0	0	0	0	1	0	4	9	6	1
ENSG00000159650	0	0	0	2	0	0	1	0	1	1	1	0
ENSG00000159658	1747	1701	1798	2001	1660	1956	1805	2064	2095	2248	2127	1720
ENSG00000159674	1	1	1	1	3	0	1	0	0	0	0	0
ENSG00000159685	49	66	89	127	119	77	42	21	38	46	72	76
ENSG00000159692	195	288	323	383	251	247	130	95	62	109	251	340
ENSG00000159708	0	0	1	0	4	0	4	4	8	11	6	3
ENSG00000159712	5	8	3	5	11	3	0	0	0	0	4	0
ENSG00000159713	0	0	2	2	1	2	10	2	16	20	22	17
ENSG00000159714	11	8	14	24	30	13	13	2	7	8	18	16
ENSG00000159720	275	257	435	377	243	262	407	196	250	412	639	680
ENSG00000159723	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000159733	62	67	71	87	72	62	24	17	20	33	41	43
ENSG00000159753	26	44	43	61	36	33	2	1	0	2	2	3
ENSG00000159761	0	0	0	0	0	0	0	0	1	7	2	4
ENSG00000159763	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000159784	3	1	1	2	4	1	1	0	0	0	0	0
ENSG00000159788	97	104	119	220	144	120	118	116	110	115	177	153
ENSG00000159792	41	67	101	115	104	54	95	27	61	86	159	137
ENSG00000159840	244	355	393	751	516	362	383	137	234	378	611	946
ENSG00000159842	436	517	620	1002	1113	590	737	463	499	610	1011	1068
ENSG00000159860	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000159871	63	63	58	137	163	82	13	22	28	43	55	31
ENSG00000159873	1126	1190	1271	1024	987	1063	1671	2070	1158	1270	1106	1605
ENSG00000159882	78	81	77	121	126	82	154	159	128	118	125	112
ENSG00000159884	30	44	38	47	65	45	40	30	39	56	67	60
ENSG00000159885	6	1	2	1	3	5	96	106	77	100	89	89
ENSG00000159899	158	124	108	102	171	101	0	0	0	0	0	0
ENSG00000159904	0	0	0	0	0	0	0	0	1	2	2	1
ENSG00000159905	22	16	19	12	22	18	139	174	103	118	115	144
ENSG00000159915	0	2	4	12	13	6	15	24	14	17	15	12
ENSG00000159917	89	95	84	54	71	60	120	151	79	80	106	129
ENSG00000159921	161	171	313	129	95	185	1383	1802	2798	3354	2753	1622
ENSG00000159958	3	1	3	6	5	4	2	1	0	0	0	2
ENSG00000159961	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000160007	1182	1064	1354	1184	1402	1183	1361	1620	1661	1824	1952	1574
ENSG00000160013	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000160014	1651	1898	2193	2301	1307	2149	2954	2067	1451	2497	1895	3401
ENSG00000160049	1870	2158	2388	2655	3748	2218	1348	1289	1190	1602	1400	1591
ENSG00000160050	8	8	13	19	43	37	14	8	21	39	73	59
ENSG00000160051	139	169	140	164	143	107	139	97	130	164	143	133
ENSG00000160055	91	57	78	110	116	82	68	55	67	135	93	57
ENSG00000160058	452	553	564	1084	1153	821	464	320	576	820	827	570
ENSG00000160062	85	91	137	134	120	143	75	87	49	45	57	69
ENSG00000160072	299	351	302	444	374	273	254	127	110	238	348	600
ENSG00000160075	458	580	684	681	749	543	757	643	458	655	706	908
ENSG00000160087	222	352	358	329	315	246	329	274	220	304	366	414
ENSG00000160094	10	7	11	23	19	11	14	5	10	10	12	30
ENSG00000160097	0	0	0	0	0	0	0	0	0	1	0	0
ENSG00000160111	0	0	0	0	1	0	0	0	1	0	3	0
ENSG00000160113	147	195	218	231	219	159	70	45	42	74	128	159
ENSG00000160117	141	158	138	157	200	109	2	2	3	4	4	10
ENSG00000160124	634	726	656	356	360	370	355	469	239	307	248	390
ENSG00000160131	3631	3283	2582	2147	1928	1783	5418	6446	3644	3799	4248	5356
ENSG00000160145	22	21	28	47	53	29	123	156	266	239	252	148
ENSG00000160161	25	34	32	47	64	32	0	0	0	3	2	4
ENSG00000160172	53	65	92	99	137	82	24	17	17	40	31	26
ENSG00000160179	3	1	2	7	4	6	0	0	1	0	2	0
ENSG00000160180	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000160181	0	0	0	0	0	0	0	0	2	0	0	0
ENSG00000160182	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000160183	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000160185	0	0	0	0	1	0	0	0	0	0	0	0
ENSG00000160188	3	0	3	2	9	3	0	0	0	0	0	0
ENSG00000160190	67	111	112	324	308	196	0	1	1	0	2	0
ENSG00000160191	181	200	285	249	283	219	0	0	0	0	0	0
ENSG00000160193	125	165	157	150	146	83	74	51	35	45	77	129
ENSG00000160194	366	374	409	366	377	349	374	338	291	382	349	407
ENSG00000160199	280	349	357	320	326	237	311	256	161	208	267	329
ENSG00000160200	0	1	0	0	1	1	86	48	111	219	248	199
ENSG00000160201	1035	836	926	653	740	666	789	675	436	491	538	768
ENSG00000160202	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000160207	8	9	8	10	18	7	28	26	23	8	29	37
ENSG00000160208	2753	2787	2655	1945	1960	1714	2096	2006	971	1268	1400	2166
ENSG00000160209	771	1041	1178	1455	1248	932	1299	786	729	1224	1617	1882
ENSG00000160211	252	391	601	852	1030	510	240	122	247	471	666	528
ENSG00000160213	213	270	273	278	361	247	307	284	210	290	343	320
ENSG00000160214	522	774	646	588	554	362	470	217	168	299	481	717
ENSG00000160216	329	377	377	549	502	388	325	230	367	483	640	371
ENSG00000160218	1055	1097	1248	1162	1166	986	1271	1274	1010	1221	1394	1482
ENSG00000160219	7	6	6	20	26	14	40	54	67	46	73	31
ENSG00000160221	295	334	412	528	511	433	268	252	483	526	549	404
ENSG00000160223	61	73	63	95	84	45	2	0	3	3	4	2
ENSG00000160224	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000160226	9	11	9	19	21	14	11	3	12	17	21	22
ENSG00000160229	0	0	0	0	0	0	6	3	6	1	3	4
ENSG00000160233	20	13	26	55	42	32	1	0	3	7	5	1
ENSG00000160255	0	0	0	0	0	1	1	0	0	0	0	3
ENSG00000160256	25	26	28	31	23	13	19	16	15	8	30	46
ENSG00000160271	201	239	315	827	674	452	76	38	96	133	235	157
ENSG00000160282	1	0	1	1	1	2	1	1	0	0	0	0
ENSG00000160284	1	1	0	1	0	0	5	4	10	9	23	23
ENSG00000160285	95	105	200	175	127	119	178	80	98	184	263	357
ENSG00000160293	307	392	487	525	459	321	1	0	3	3	0	2
ENSG00000160294	1358	1385	1344	1220	1513	1073	1798	1613	1044	1430	1462	2052
ENSG00000160298	35	56	33	50	31	22	70	43	27	52	80	147
ENSG00000160299	612	605	650	548	371	431	571	468	278	342	445	708
ENSG00000160305	391	417	428	826	796	727	324	237	255	343	447	446
ENSG00000160307	2	1	3	1	0	0	8710	10679	14670	12009	15349	8190
ENSG00000160310	326	412	529	613	511	546	543	408	537	763	872	829
ENSG00000160318	0	5	3	8	5	1	0	0	0	0	0	0
ENSG00000160321	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000160323	11	6	14	49	55	46	5	5	8	8	26	16
ENSG00000160325	8	11	17	19	28	16	4	6	10	20	43	37
ENSG00000160326	16	21	32	58	63	36	11	10	16	38	54	24
ENSG00000160336	518	550	459	550	632	466	353	430	327	325	375	380
ENSG00000160339	0	0	0	0	0	0	1	0	0	0	0	0
ENSG00000160345	46	54	67	34	30	20	5	4	8	7	6	8
ENSG00000160349	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000160352	612	678	629	468	409	473	304	396	207	253	255	350
ENSG00000160360	12	29	33	94	72	66	25	11	19	36	104	88
ENSG00000160392	52	61	63	76	57	36	57	33	30	56	84	126
ENSG00000160396	0	0	0	0	2	0	0	0	1	0	0	0
ENSG00000160401	1	0	0	1	1	1	0	0	0	0	0	0
ENSG00000160404	19	38	44	58	31	29	22	13	9	25	31	58
ENSG00000160408	122	179	182	271	341	168	63	26	68	122	127	62
ENSG00000160410	106	103	135	211	193	152	157	94	133	245	339	308
ENSG00000160439	183	193	186	189	193	127	66	52	45	83	88	78
ENSG00000160445	44	85	121	232	189	141	73	48	93	133	215	150
ENSG00000160446	17	38	60	111	42	40	22	7	13	26	54	66
ENSG00000160447	127	222	313	495	345	253	48	14	26	53	111	139
ENSG00000160460	3	4	7	16	4	13	0	1	0	11	6	0
ENSG00000160469	67	74	49	126	182	86	20	12	25	39	91	56
ENSG00000160471	0	1	2	5	1	3	0	0	1	3	1	0
ENSG00000160472	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000160505	6	9	9	7	2	23	1	0	6	6	4	0
ENSG00000160539	0	0	0	0	1	0	1	2	2	3	2	11
ENSG00000160551	2915	2295	2825	2277	2621	2607	2488	3229	2274	2211	2211	2457
ENSG00000160563	70	90	105	100	69	62	78	61	82	111	112	125
ENSG00000160570	157	231	247	277	311	185	155	99	121	236	203	291
ENSG00000160584	391	290	351	382	370	305	282	242	322	344	338	268
ENSG00000160588	163	172	185	295	283	290	10	5	23	30	21	7
ENSG00000160593	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000160602	34	44	46	67	54	39	17	3	14	17	12	17
ENSG00000160606	194	275	279	252	280	145	41	30	94	114	84	34
ENSG00000160613	424	393	409	410	397	298	205	124	150	165	241	334
ENSG00000160633	963	981	1039	814	908	817	785	715	414	465	482	784
ENSG00000160654	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000160678	3	0	1	1	0	1	316	253	168	146	306	474
ENSG00000160679	1032	1128	1035	1097	1232	954	607	569	362	503	458	699
ENSG00000160683	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000160685	96	150	203	345	236	179	44	12	30	64	92	105
ENSG00000160688	582	817	748	811	856	465	569	343	315	487	559	744
ENSG00000160691	980	1252	1473	1480	1267	1054	1855	1257	1604	2050	2574	2831
ENSG00000160695	296	309	400	522	512	374	408	357	456	591	662	493
ENSG00000160703	56	66	121	246	145	124	34	19	32	59	79	52
ENSG00000160710	5583	5221	6381	6040	6482	6058	4895	4823	3425	3982	3864	4822
ENSG00000160712	93	120	162	191	320	169	378	349	303	354	307	449
ENSG00000160714	1102	1158	1175	986	1044	945	1357	1573	920	988	901	1306
ENSG00000160716	0	0	0	0	0	0	2	0	1	3	2	0
ENSG00000160741	119	157	175	213	213	180	149	78	96	129	159	204
ENSG00000160746	141	162	152	194	197	221	534	569	480	524	574	521
ENSG00000160752	1503	1541	1872	1392	1085	1273	1907	1903	985	1259	978	1753
ENSG00000160753	298	334	358	494	320	303	114	95	84	119	156	168
ENSG00000160766	55	45	25	52	75	39	90	65	48	66	71	121
ENSG00000160767	102	76	101	44	55	40	24	29	13	29	26	52
ENSG00000160781	9	11	22	23	27	31	34	24	28	41	44	63
ENSG00000160783	99	150	142	195	141	166	84	81	77	128	106	129
ENSG00000160785	335	323	314	255	271	190	1010	972	654	625	695	916
ENSG00000160789	975	1694	2049	3474	2261	1703	1086	551	536	1152	2594	2973
ENSG00000160791	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000160796	293	390	421	778	671	447	127	54	84	134	244	311
ENSG00000160799	86	111	157	167	103	133	94	38	44	77	131	177
ENSG00000160801	1	2	1	1	0	0	1	0	0	0	0	3
ENSG00000160803	685	637	691	751	921	549	482	494	467	537	462	520
ENSG00000160808	0	0	0	0	1	0	0	0	0	0	1	0
ENSG00000160813	16	46	39	64	49	45	20	8	21	37	51	62
ENSG00000160818	823	839	675	500	735	405	1017	937	316	358	466	1052
ENSG00000160828	43	44	51	73	96	40	56	60	59	65	83	76
ENSG00000160838	0	0	0	0	0	1	0	1	0	2	0	0
ENSG00000160844	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000160856	0	0	1	0	0	1	0	0	0	1	0	0
ENSG00000160862	4	0	5	14	11	10	39	26	47	31	45	36
ENSG00000160867	71	106	182	188	166	112	101	41	29	38	85	284
ENSG00000160868	0	0	0	0	1	0	0	0	0	0	0	0
ENSG00000160870	0	0	0	1	0	0	4	3	2	19	12	3
ENSG00000160877	315	398	542	624	355	301	269	159	117	210	381	651
ENSG00000160882	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000160883	1	1	0	0	2	0	0	0	1	0	0	1
ENSG00000160886	4	8	6	22	31	9	77	77	47	79	58	112
ENSG00000160888	142	170	193	367	393	221	124	98	82	94	133	143
ENSG00000160908	250	271	255	271	372	263	263	213	218	247	268	206
ENSG00000160917	345	386	458	575	434	369	337	169	197	324	395	451
ENSG00000160932	327	467	512	630	408	327	238	116	157	346	434	593
ENSG00000160948	98	151	208	420	450	210	134	85	75	175	312	265
ENSG00000160949	310	465	366	417	265	184	160	67	45	66	251	393
ENSG00000160951	0	0	0	0	1	0	0	0	0	0	1	0
ENSG00000160953	517	633	615	579	508	454	339	287	224	267	335	426
ENSG00000160957	245	459	480	734	373	215	141	53	46	123	359	568
ENSG00000160959	313	351	366	485	452	286	158	106	86	201	318	343
ENSG00000160961	130	117	144	188	286	196	84	85	126	153	129	65
ENSG00000160963	0	0	1	4	0	0	0	0	0	0	0	0
ENSG00000160972	67	117	111	210	134	54	22	9	15	27	97	93
ENSG00000160973	1	0	0	1	4	0	0	0	0	0	0	2
ENSG00000160991	43	33	33	86	73	66	252	150	193	325	432	400
ENSG00000160993	65	118	130	117	83	88	83	61	66	62	118	103
ENSG00000160994	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000160999	6	5	10	17	10	9	0	0	0	1	11	3
ENSG00000161010	171	139	148	182	144	103	77	73	53	64	113	159
ENSG00000161011	1549	2452	2540	5863	8829	3147	4571	2861	5520	9555	14597	9123
ENSG00000161013	475	570	715	1137	1161	634	1374	911	1225	1822	2714	2041
ENSG00000161016	3838	6630	9075	10429	9506	6474	3912	1696	1871	4131	4895	7173
ENSG00000161021	496	486	601	474	429	398	468	373	225	329	383	542
ENSG00000161031	0	0	0	0	0	0	0	0	0	0	1	0
ENSG00000161036	73	152	196	174	193	107	120	53	50	139	233	267
ENSG00000161040	13	9	13	5	18	10	23	15	18	35	30	9
ENSG00000161048	193	103	179	106	137	91	153	214	235	186	247	168
ENSG00000161055	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000161057	2662	3393	2804	2229	2030	1791	3063	3580	2670	2965	2671	3053
ENSG00000161082	9	3	9	16	26	11	1	0	3	3	0	3
ENSG00000161091	216	257	274	393	396	214	699	503	962	1310	2514	1309
ENSG00000161103	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000161132	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000161133	0	0	0	1	0	0	2	0	23	0	2	0
ENSG00000161149	2	0	2	3	3	1	12	7	14	17	24	15
ENSG00000161179	118	165	255	209	174	128	31	17	36	68	66	79
ENSG00000161180	0	1	1	3	2	1	1	0	2	1	0	2
ENSG00000161202	295	281	333	479	485	399	667	495	408	571	764	920
ENSG00000161203	2858	3850	5135	5038	4624	3518	6331	4196	5149	7442	6918	8067
ENSG00000161204	368	415	526	472	623	356	670	390	409	696	814	1018
ENSG00000161217	925	898	837	835	880	773	2430	2499	1910	2041	2312	2468
ENSG00000161243	124	124	158	172	184	155	266	183	265	396	341	238
ENSG00000161249	980	1062	1120	1384	1476	1384	0	0	0	2	2	0
ENSG00000161265	4	8	7	15	6	7	5	7	9	8	15	12
ENSG00000161267	306	360	275	268	202	237	139	107	114	147	187	165
ENSG00000161270	0	1	0	3	12	9	0	0	2	4	1	0
ENSG00000161277	3	2	4	6	7	5	12	10	8	8	20	14
ENSG00000161281	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000161298	0	0	0	0	0	0	40	60	134	115	106	39
ENSG00000161326	418	552	546	575	656	483	281	249	305	411	368	335
ENSG00000161328	8	9	13	27	13	6	2	0	0	1	14	9
ENSG00000161381	6	7	9	17	26	14	0	2	3	2	5	4
ENSG00000161395	29	59	49	74	66	58	27	20	21	41	59	52
ENSG00000161405	0	2	1	1	8	3	0	0	4	5	6	0
ENSG00000161509	5	7	2	18	19	12	1	1	3	5	8	6
ENSG00000161513	135	174	223	572	351	303	23	11	44	85	102	108
ENSG00000161526	991	1143	1332	1192	1036	922	1079	842	733	960	1289	1435
ENSG00000161533	1428	1338	1432	1753	1936	1711	1108	1348	1592	1652	1447	1203
ENSG00000161542	619	680	823	877	876	824	396	395	462	517	539	403
ENSG00000161544	0	0	2	0	3	1	1	0	1	1	2	2
ENSG00000161547	5060	5632	4747	3128	2922	2846	3295	3672	1575	1722	2124	3549
ENSG00000161551	126	85	76	66	107	75	69	115	113	114	95	63
ENSG00000161558	24	22	18	18	20	26	23	19	16	25	25	34
ENSG00000161570	2	0	0	5	4	0	14	13	56	75	98	24
ENSG00000161572	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000161573	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000161574	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000161583	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000161594	0	0	1	0	0	1	0	0	0	0	0	0
ENSG00000161609	0	0	0	1	0	1	8	8	5	13	29	13
ENSG00000161610	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000161618	44	37	41	30	14	27	68	33	29	37	57	127
ENSG00000161634	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000161638	584	789	1010	1271	1485	979	7469	4014	4473	7659	8368	9867
ENSG00000161640	0	0	0	1	0	0	0	0	0	0	0	0
ENSG00000161642	34	24	55	47	24	20	3	4	5	1	8	11
ENSG00000161643	0	0	0	0	1	0	0	0	0	0	0	0
ENSG00000161647	226	200	175	301	286	278	31	24	34	51	43	40
ENSG00000161649	0	0	0	0	2	0	0	0	0	0	0	0
ENSG00000161652	0	0	0	0	0	1	0	0	0	1	0	0
ENSG00000161653	29	46	38	69	51	21	4	0	3	10	7	3
ENSG00000161654	265	257	259	216	184	221	218	246	143	152	157	178
ENSG00000161664	0	1	0	1	1	0	0	0	0	0	0	0
ENSG00000161671	276	322	327	286	203	167	205	158	192	289	531	446
ENSG00000161677	0	5	7	8	0	2	5	0	4	4	14	11
ENSG00000161681	0	1	3	5	5	4	0	0	0	0	0	0
ENSG00000161682	9	17	15	47	33	18	4	0	3	11	21	8
ENSG00000161692	190	232	233	310	175	214	426	249	181	260	318	630
ENSG00000161714	210	333	433	749	657	484	73	31	52	107	173	163
ENSG00000161791	66	41	76	218	301	102	832	691	611	789	880	970
ENSG00000161798	0	1	0	0	0	0	0	0	0	0	0	0
ENSG00000161800	2679	2931	2999	3200	1739	2869	3401	4123	1897	2423	2013	3549
ENSG00000161807	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000161813	3969	3085	3828	2193	2313	2362	5016	5799	3956	4290	3870	4439
ENSG00000161835	2	3	2	2	2	1	50	39	88	185	183	119
ENSG00000161847	37	57	34	56	33	22	19	9	5	12	23	40
ENSG00000161849	0	0	0	1	0	0	0	0	0	0	0	0
ENSG00000161850	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000161860	3	1	4	12	18	11	11	7	8	7	18	15
ENSG00000161888	358	394	431	673	278	446	316	252	154	273	251	332
ENSG00000161896	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000161904	152	234	287	372	342	284	331	232	371	556	681	555
ENSG00000161905	0	0	0	1	0	0	1	0	0	0	0	0
ENSG00000161911	1	0	0	0	2	0	0	0	0	0	2	0
ENSG00000161912	62	35	28	73	52	42	37	41	43	37	51	36
ENSG00000161914	10	10	14	18	11	14	8	4	1	4	6	23
ENSG00000161920	71	80	89	127	103	100	80	78	64	129	94	144
ENSG00000161921	291	283	271	614	618	540	9	4	47	33	62	9
ENSG00000161929	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000161939	2	3	0	4	3	2	0	0	0	0	2	1
ENSG00000161940	3	2	2	4	9	5	1	0	0	0	0	0
ENSG00000161944	0	0	0	0	1	0	0	0	0	0	0	0
ENSG00000161955	0	0	0	3	2	0	0	0	0	0	0	0
ENSG00000161956	114	117	101	96	100	76	77	60	40	68	97	135
ENSG00000161958	12	26	15	16	28	20	2	10	12	7	9	3
ENSG00000161960	249	211	134	158	204	135	186	139	98	68	92	168
ENSG00000161970	411	311	356	262	520	287	236	291	100	99	118	172
ENSG00000161973	0	0	0	0	1	0	0	0	0	0	0	0
ENSG00000161980	168	186	171	100	91	84	508	383	198	319	314	614
ENSG00000161981	279	376	295	248	181	156	728	570	346	587	559	800
ENSG00000161992	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000161996	114	153	124	186	118	71	71	31	26	38	114	192
ENSG00000161999	308	564	737	727	568	345	182	64	139	253	409	470
ENSG00000162004	5	17	20	53	90	26	6	2	6	6	20	12
ENSG00000162006	0	0	0	1	2	0	1	0	0	0	0	1
ENSG00000162009	4	1	10	5	0	0	0	0	0	0	0	0
ENSG00000162032	24	32	37	110	84	45	16	11	20	29	60	45
ENSG00000162039	0	0	0	0	0	0	0	1	1	2	1	0
ENSG00000162040	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000162062	74	149	118	135	124	60	52	30	29	46	86	148
ENSG00000162063	848	1362	1370	1516	555	910	1590	1004	533	1077	1089	2412
ENSG00000162065	419	410	362	308	277	162	237	220	197	205	276	348
ENSG00000162066	21	41	39	77	41	25	32	2	15	46	84	83
ENSG00000162068	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000162069	25	29	12	75	107	53	0	0	0	0	0	0
ENSG00000162073	99	138	226	408	397	220	383	188	259	389	588	611
ENSG00000162076	13	40	28	78	56	38	5	3	9	14	48	49
ENSG00000162078	0	1	1	1	7	0	0	0	0	0	0	0
ENSG00000162086	200	163	154	152	217	105	286	310	176	185	202	321
ENSG00000162104	71	72	130	127	112	99	358	241	315	403	519	441
ENSG00000162105	61	63	78	178	219	148	0	0	0	0	0	0
ENSG00000162129	688	901	823	679	595	555	500	340	348	550	533	655
ENSG00000162139	292	316	270	417	380	353	146	129	122	134	139	125
ENSG00000162144	249	329	324	247	188	133	134	64	52	92	130	227
ENSG00000162148	12	10	5	41	42	15	1	0	1	4	0	2
ENSG00000162174	200	257	252	281	228	194	126	120	219	173	203	125
ENSG00000162188	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000162191	154	207	260	284	363	252	149	78	123	261	368	322
ENSG00000162194	345	342	307	290	369	283	159	218	149	176	139	169
ENSG00000162222	198	235	276	258	323	272	190	187	200	285	253	225
ENSG00000162227	128	187	201	163	146	115	62	37	51	82	110	106
ENSG00000162231	888	837	841	715	745	637	769	636	397	479	486	676
ENSG00000162236	203	222	276	451	447	344	233	199	240	319	300	317
ENSG00000162241	11	16	12	16	41	12	7	6	5	7	9	18
ENSG00000162244	949	1348	1398	1584	1431	1066	664	433	311	575	779	1319
ENSG00000162267	0	0	0	0	1	0	0	1	1	1	2	0
ENSG00000162290	1331	1337	1406	1143	1061	1166	830	825	666	712	598	768
ENSG00000162298	291	289	273	401	336	317	230	145	223	232	249	263
ENSG00000162300	76	99	119	251	204	165	136	83	98	178	204	298
ENSG00000162302	319	424	367	517	443	276	118	79	64	125	156	184
ENSG00000162337	72	110	224	458	433	192	115	33	68	184	496	299
ENSG00000162341	83	104	131	144	124	104	140	57	103	139	195	197
ENSG00000162344	135	156	216	183	214	146	0	0	0	0	0	0
ENSG00000162365	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000162366	0	0	0	0	0	0	1	0	3	2	7	1
ENSG00000162367	4	1	0	0	1	0	2	2	3	1	1	2
ENSG00000162368	2286	2230	2314	2499	2502	2342	2005	2586	2179	2496	2016	1969
ENSG00000162373	0	0	0	0	0	0	0	0	1	0	1	0
ENSG00000162374	0	0	0	0	0	0	1	0	3	4	2	0
ENSG00000162377	855	1018	967	519	598	487	490	474	298	362	410	451
ENSG00000162378	791	717	1055	1246	1250	1411	657	838	1027	1076	988	657
ENSG00000162383	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000162384	289	299	347	255	300	315	317	385	294	351	285	297
ENSG00000162385	217	235	244	144	150	192	186	218	148	155	134	204
ENSG00000162390	60	68	121	131	154	84	8	3	4	5	11	12
ENSG00000162391	0	0	0	0	1	0	1	0	0	0	0	0
ENSG00000162396	108	138	173	139	163	104	116	96	103	160	118	137
ENSG00000162398	0	0	0	0	1	2	1	0	0	0	0	0
ENSG00000162399	0	0	0	1	0	0	0	0	0	0	0	0
ENSG00000162402	2401	2184	2662	1742	2302	2091	1841	2217	1681	1707	1716	1808
ENSG00000162407	115	125	135	592	744	592	596	778	1104	1014	1317	619
ENSG00000162408	2190	2567	2210	1341	1234	1143	1590	1694	835	905	1012	1574
ENSG00000162409	381	352	320	696	796	430	257	308	341	355	403	243
ENSG00000162413	506	792	666	769	721	466	391	230	289	341	623	537
ENSG00000162415	10	20	23	23	46	33	37	41	111	82	107	32
ENSG00000162419	339	417	469	428	429	395	209	196	133	196	184	190
ENSG00000162426	7	6	15	23	16	19	0	0	0	1	0	2
ENSG00000162430	311	344	420	560	368	510	357	277	442	555	792	575
ENSG00000162433	1163	1009	928	1074	985	953	11	7	57	34	39	6
ENSG00000162434	1448	1432	1797	2288	2417	2151	1260	1325	1653	1762	1653	1165
ENSG00000162437	1025	924	1137	787	887	834	1	0	16	9	11	1
ENSG00000162438	0	2	0	3	4	1	0	0	0	0	0	0
